任务种子库｜30条公开提示词（P0）,,,,,,,,,,,,,,
这些提示词来自公开图库，只作为研究者的初始任务。30条任务种子中，实际记录的生成会话以session_registry.csv为准；原始结果图用于参照，不是本实验的最终结果。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
任务种子ID,公开详情页,来源平台,原页面模型,样本标题,P0公开提示词,原结果图,列1,原始来源,发布日期,初步任务类型,主题/视觉对象,是否纳入配对实验,配对任务ID,来源备注
SEED-011,https://openpromptlib.com/prompt/young-woman-in-white-cap-poses-for-minimalist-coff-ccwkwWvI,OpenPromptLib,ChatGPT Image 2,Young woman in white cap poses for minimalist coffee fashion editorial,"Design a mixed-media editorial fashion collage with the theme Minimalist Urban Coffee Lifestyle, blending ultra-realistic photography with hand-drawn digital illustrations, minimal artistic doodles, modern scrapbook elements, and touches of clean urban streetwear, Korean fashion editorials, and premium coffee culture aesthetics. The composition should resemble the cover of a world-class fashion lifestyle magazine, with the main character positioned exactly at the center as the primary focal point. The entire visual is dominated by a palette of dark grey, charcoal, graphite, matte black, silver, steel grey, concrete grey, white, and subtle chrome accents, creating a calm, modern, relaxed, elegant, and premium atmosphere. The subject is a young woman with a beautiful, soft, natural face, fair glowing skin, and slightly rosy cheeks. Do not alter her facial identity in any way. She has the exact same long, straight, silky dark brown hairstyle with the original center part, hairline, length, texture, and natural volume as shown in the reference image. Her hair falls naturally over both shoulders with realistic movement and shine. On top of her hair, she wears a plain white premium cotton baseball cap with a minimalist design and no logo. She has a tall, slim, well-proportioned runway-model physique, making her appear exceptionally long-legged and elegant. Her expression is calm and composed with closed lips and no smile, radiating a relaxed, confident, effortless, sophisticated, and classy aura. Her pose resembles the cover of a Korean fashion magazine. She stands casually at approximately a 30-degree angle, with her weight resting naturally",https://covers.openpromptlib.com/young-woman-in-white-cap-poses-for-minimalist-coff-ccwkwWvI_1.webp,,https://x.com/AiwithLariab/status/2078091096060727568,2026-07-17 00:00:00,图生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-012,https://openpromptlib.com/prompt/confident-model-in-oversized-black-tee-strides-thr-L__m9RT9,OpenPromptLib,Nano Banana 2,Confident model in oversized black tee strides through white studio,"A stylish young man in a premium editorial fashion photoshoot, wearing an oversized black/dark charcoal T-shirt, relaxed beige or white wide-leg trousers, premium Nike sneakers, optional black sunglasses, silver chain, and luxury wristwatch. Dynamic walking or standing pose with a confident expression, looking slightly away or toward the camera. Minimal clean white/light gray studio background, dramatic soft lighting, soft shadows, high contrast, artistic vertical motion blur and subtle glitch smear effect around the body, ultra-realistic skin texture, luxury streetwear campaign, Vogue-inspired fashion photography, cinematic color grading, 2K resolution, razor-sharp details, masterpiece quality, preserve the exact reference face and identity 100%, do not change my real face.",https://covers.openpromptlib.com/confident-model-in-oversized-black-tee-strides-thr-L__m9RT9_1.webp,,https://x.com/SadiaMalik182/status/2078088218462007462,2026-07-17 00:00:00,文生图,城市/建筑/空间,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-013,https://openpromptlib.com/prompt/a-chibi-character-relaxes-on-a-giant-mango-in-a-ju-UcUN-4a3,OpenPromptLib,ChatGPT Image 2,A chibi character relaxes on a giant mango in a juice lake,"Use the uploaded photo as the primary face reference and preserve the exact facial identity, eyes, nose, lips, hairstyle, skin tone, and expression. Create a premium ultra-cute Pixar-style 3D chibi character with a large adorable head and small realistic body. Place the character inside a magical giant ripe mango world with glossy mango juice, fresh mango slices, tropical leaves, flowers, crystal-clear ice cubes, and warm golden sunlight.

Generate five different fantasy scenes:
1. Relaxing on a giant sliced mango floating in a sparkling mango juice lake under a tropical beach sky.
2. Sleeping peacefully inside a glowing hollow mango with tiny lanterns, fireflies, and a dreamy starry night.
3. Exploring a magical mango jungle with waterfalls, wearing a safari outfit and holding a compass.
4. Sitting on a giant mango at a tropical beach with palm trees, sunglasses, and a refreshing mango drink.
5. Sitting like a queen on a luxurious golden throne carved inside a giant mango, wearing a small golden crown, surrounded by flowing mango juice fountains and tropical flowers.

Highly detailed 3D CGI, Pixar-quality, ultra-realistic textures, vibrant tropical colors, cinematic lighting, soft bokeh, depth of field, HDR, 8K resolution, glossy mango textures, adorable proportions, photorealistic face preservation, no text, no watermark, masterpiece quality.",https://covers.openpromptlib.com/a-chibi-character-relaxes-on-a-giant-mango-in-a-ju-UcUN-4a3_1.webp,,https://x.com/soaima70480/status/2078087698787745894,2026-07-17 00:00:00,图生图,图形文字/版式,待选择,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-014,https://openpromptlib.com/prompt/six-diverse-women-showcase-unique-fashion-styles-i-1BoWX911,OpenPromptLib,Nano Banana Pro,Six diverse women showcase unique fashion styles in a grid collage.,"A high-quality 2x3 grid collage featuring six distinct, full-body portraits of diverse women, each showcasing a unique fashion style, color palette, and setting. The top-left image features a woman with curly red hair in a vibrant red suit, posed in an outdoor Parisian-style café. The top-middle image shows a woman with a sleek bob hairstyle wearing a professional green double-breasted suit, standing on a modern glass walkway. The top-right image captures a woman in an elegant, flowing blue evening gown with a high slit, positioned on a stone balcony overlooking a sunset ocean view. The bottom-left image displays a woman with long wavy blonde hair in a bohemian outfit, including a crochet top and denim shorts, set against a backdrop of a sunflower field. The bottom-middle image features a woman with natural curly hair styled in a warm autumn-toned chunky turtleneck sweater and a pleated brown leather skirt on a city street. The bottom-right image shows a woman with a polished look in a grey pantsuit and silk camisole, standing in a minimalist art gallery corridor.",https://covers.openpromptlib.com/six-diverse-women-showcase-unique-fashion-styles-i-1BoWX911_1.webp,,https://x.com/Minahil42298354/status/2078086696193741143,2026-07-17 00:00:00,文生图,城市/建筑/空间,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-015,https://openpromptlib.com/prompt/woman-reaches-through-shattered-glass-with-fearles-0-IIi7rN,OpenPromptLib,ChatGPT Image 2,Woman reaches through shattered glass with fearless gaze,"Ultra-realistic IMAX-level Netflix-style cinematic shattered-glass fashion portrait, 9:16 vertical composition, use the uploaded image as the primary facial and composition reference with maximum face consistency, create a beautiful young adult woman positioned behind a large cracked transparent glass panel, captured in a dramatic front-facing medium portrait. She reaches one arm through an irregular opening in the shattered glass toward the camera, creating strong foreground depth, while the sharp fracture lines naturally frame her face and body. Her expression powerful, fearless and emotionally controlled, with subtly lowered brows, piercing eyes locked directly on the camera, slight tension in the lower eyelids, softly parted lips and a firm composed jaw. Her luminous fair porcelain milky-white skin rendered with ultra-smooth clean texture, soft natural pink freshness and perfect even face-to-body skin tone consistency. Her deep-black hair is styled in an intricate textured high bun with braided details, loose face-framing strands and natural flyaways. She wears an elegant fitted black velvet outfit with refined folds and a sculpted silhouette. Background deep black with soft amber bokeh, illuminated by cinematic split lighting featuring cool cyan highlights from one side and warm golden light from the other, reflecting across the broken glass edges, her face and extended hand, photorealistic, highly detailed, 8K quality.
Negative Prompt: distorted hand, extra fingers, misplaced glass shards, glass covering eyes, weak expression, flat lighting, blur, text, logo, watermark.",https://covers.openpromptlib.com/woman-reaches-through-shattered-glass-with-fearles-0-IIi7rN_1.webp,,https://x.com/imGopalTiwari/status/2078085892909232634,2026-07-17 00:00:00,图生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-016,https://openpromptlib.com/prompt/brooklyn-bridge-rises-above-cobblestone-streets-in-cFYeviTN,OpenPromptLib,ChatGPT Image 2,Brooklyn Bridge rises above cobblestone streets in golden morning light,"Create a sophisticated illustrated travel poster of **New York City** in a refined contemporary **ink-and-wash travel journal** style.

Format: **vertical 3:4 poster**

Design the image as an elegant hand-drawn travel scene that feels like a premium location sketch captured on site in DUMBO, Brooklyn. The artwork should combine **expressive black ink linework**, **loose architectural drawing**, and **flat hand-painted watercolor / gouache color blocking**.

Build the composition as **one cohesive scenic view**, not as separate isolated landmarks:
- Foreground: worn cobblestone street of Washington Street with a vintage fire hydrant and a corner of a red-brick warehouse
- Middle ground: a lone yellow taxi passing, a couple walking with coffee cups, faint street signage
- Background: the massive gothic stone arches and steel cables of the **Brooklyn Bridge**, framing a glimpse of the Manhattan skyline between the brick buildings

The image should feel immersive and place-specific, as if sketched from the famous DUMBO vantage point at golden morning light.

Style:
- spontaneous yet confident **black ink sketch lines**
- irregular hand-drawn contours, loose urban sketch / travel journal feeling
- simplified but recognizable architecture, expressive line variation
- painterly color fills placed beneath the ink drawing
- visible white paper between color areas
- slightly imperfect, handcrafted elegance; airy editorial composition

Color treatment: limited palette of **warm brick red, taxi yellow, steel blue-gray, and soft slate**, restrained and harmonious — fresh and bright, never loud.

Background: bright, clean, neutral white with abundant untouched white space. Do not use beige, sepia, cream, or vintage paper tones.

Typography: ""**NEW YORK**"" prominently at the top in large, elegant brush-style handwritten lettering; ""UNITED STATES"" below in smaller clean uppercase sans-serif; optional small uppercase tagline at the bottom: ""WHERE THE BRIDGE MEETS THE SKYLINE"".

Important: no floating icon arrangement, no flat vector look, no photorealism, no children's illustration style, no overfilled detail, no warm vintage texture. Preserve a refined editorial feeling with a strong sense of place.",https://covers.openpromptlib.com/brooklyn-bridge-rises-above-cobblestone-streets-in-cFYeviTN_1.webp,,https://x.com/SimplyAnnisa/status/2078083614349431277,2026-07-17 00:00:00,文生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-017,https://openpromptlib.com/prompt/soft-peach-blush-and-taupe-shadows-define-korean-c-IHgaVHaX,OpenPromptLib,ChatGPT Image 2,Soft peach blush and taupe shadows define Korean clean girl makeup,"Ultra-natural Korean-inspired ‘clean girl’ makeup with flawless porcelain skin, soft matte finish, subtle brightening under the eyes, natural skin texture preserved, feathered straight brows, taupe eyeshadow blended softly into the crease, thin brown winged eyeliner, curled lashes with light mascara, no heavy false lashes, large doe eyes enhanced with soft aegyo-sal, minimal contouring, lightly sculpted nose, soft peach-pink blush placed high on the cheeks, blurred gradient nude pink lips with a satin finish, delicate beauty marks on the face, fresh youthful appearance, black wavy hair with a center part, soft natural daylight, high-definition beauty photography, elegant, minimalistic, realistic, no heavy glam, no harsh contour, no bold lipstick, ethereal Korean beauty aesthetic, 8K ultra-realistic.",https://covers.openpromptlib.com/soft-peach-blush-and-taupe-shadows-define-korean-c-IHgaVHaX_1.webp,,https://x.com/iamahmedfaraz66/status/2078082166979010669,2026-07-17 00:00:00,文生图,人物/肖像,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-018,https://openpromptlib.com/prompt/confident-businessman-in-blue-suit-poses-in-luxuri-BgZlZpJI,OpenPromptLib,ChatGPT Image 2,Confident businessman in blue suit poses in luxurious studio,"Use the uploaded image as the identity reference. Preserve 100% of the original face without any changes. Keep the exact same facial identity, facial structure, skin tone, hairstyle, hair color, hairline, beard, mustache, eyebrows, eyes, nose, lips, jawline, ears, glasses, expression, and overall recognizable appearance. Do not alter the age or facial proportions.

Create an ultra-realistic premium studio portrait of the same person sitting confidently in a modern navy-blue velvet armchair. He is wearing a textured royal blue suit with a matching blue crew-neck t-shirt, white sneakers, and white socks. Keep the forearm tattoos, silver luxury wristwatch, and rings exactly as in the reference image. His elbows rest naturally on his thighs, hands relaxed together, looking directly into the camera with a calm, confident expression.

The background is a smooth light-to-dark blue gradient with a giant bold dark-blue letter ""M"" behind him. Glossy reflective blue floor, soft cinematic studio lighting, symmetrical centered composition, shallow depth of field, luxury editorial fashion photography, hyper-realistic skin texture, HDR, 8K, ultra-detailed, premium commercial advertisement quality.

Camera: Full-body portrait, eye-level, 85mm lens, f/2.8, ISO 100, vertical 4:5 aspect ratio.

Negative Prompt:

Do not change the face, hairstyle, beard, glasses, skin tone, age, facial proportions, or expression. No extra fingers, bad anatomy, blur, low quality, watermark, text, logo, cropped body, duplicate limbs, oversharpening, unrealistic skin, cartoon, CGI.",https://covers.openpromptlib.com/confident-businessman-in-blue-suit-poses-in-luxuri-BgZlZpJI_1.webp,,https://x.com/AiwithBloodline/status/2078081946903777579,2026-07-17 00:00:00,图生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-019,https://openpromptlib.com/prompt/a-young-woman-at-a-traffic-light-under-a-floating--7pAMVSo2,OpenPromptLib,ChatGPT Image 2,A Young Woman at a Traffic Light Under a Floating Ocean,"4:5 Ultra-realistic candid iPhone photo of a beautiful young Korean woman standing at a traffic light.  Above the entire city floats a crystal-clear ocean where sharks, whales, and colorful fish swim peacefully overhead.  The impossible sight reflects across nearby glass buildings.  She never looks up.  Captured naturally.  Premium smartphone realism.",https://covers.openpromptlib.com/a-young-woman-at-a-traffic-light-under-a-floating--7pAMVSo2_1.webp,,https://x.com/Mind_Boticni/status/2078081634126246221,2026-07-17 00:00:00,文生图,城市/建筑/空间,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-020,https://openpromptlib.com/prompt/a-manga-style-action-dossier-frames-a-flying-super-hTx5IcXu,OpenPromptLib,ChatGPT Image 2,A manga-style action dossier frames a flying superhero in dynamic pose,"2x2 grid, 16:9, do this for 4 famous movies: -- input: $ subject

create temp view subject_analysis as
select
  infer_main_identity(:subject)          as identity,
  infer_dynamic_pose(:subject)           as action_pose,
  infer_power_or_function(:subject)      as motion_system,
  infer_world_context(:subject)          as world,
  infer_symbolic_details(:subject)       as symbols,
  infer_study_points(:subject)           as closeups,
  infer_short_title(:subject)            as title;

create temp view parchment_board as
select
  build_action_study_sheet(
    material = 'aged cream paper',
    borders = 'thin technical crop marks and panel lines',
    texture = 'ink stains, paper grain, pencil construction marks'
  ) as board
from subject_analysis;

create temp view main_action as
select
  render_manga_subject(
    identity,
    pose = action_pose,
    linework = 'black brush ink, scratch hatching, broken speed strokes',
    energy = motion_system,
    accent_color = 'muted blue, red, or sepia inferred from subject'
  ) as hero
from subject_analysis;

create temp view atlas_layer as
select
  add_world_fragments(
    world,
    style = 'travel-poster landmarks, tiny city shapes, map labels, symbolic scenery',
    placement = 'behind and around the main action'
  ) as background_world,

  add_title_and_stamps(
    title,
    style = 'bold poster heading, small seals, side labels, handwritten notes'
  ) as title_system
from subject_analysis;

create temp view study_layer as
select
  add_inset_panels(
    closeups,
    panels = array[
      'face or focal feature close-up',
      'motion diagram',
      'tool or accessory detail',
      'alternate state',
      'silhouette thumbnail'
    ],
    style = 'manga production notes'
  ) as studies
from subject_analysis;

render
  parchment_board.board,
  atlas_layer.background_world,
  main_action.hero center,
  study_layer.studies around main_action.hero,
  atlas_layer.title_system
with
  camera = 'flat illustrated production-board view',
  palette = 'cream paper, black ink, gray wash, one restrained accent color',
  mood = 'dynamic, analytical, legendary, worldbuilding-rich';

-- output rules:
-- 1. $ subject becomes the hero of a manga-style action dossier.
-- 2. surround it with travel-poster-like world fragments and symbolic location details.
-- 3. include inset panels for anatomy, expression, movement, tools, and alternate states.
-- 4. use callouts, arrows, stamps, and notes as decorative production language.
-- 5. preserve subject identity while making the page feel hand-drawn, kinetic, and collectible.
-- 6. avoid polished photorealism, cute toy clay, full-color comic clutter, and empty layouts.",https://covers.openpromptlib.com/a-manga-style-action-dossier-frames-a-flying-super-hTx5IcXu_1.webp,,https://x.com/Gdgtify/status/2078081027344572792,2026-07-17 00:00:00,文生图,物体/商品,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-021,https://openpromptlib.com/prompt/a-serious-woman-in-sleek-bun-poses-with-gloved-han-hFYix-Yu,OpenPromptLib,ChatGPT Image 2,A serious woman in sleek bun poses with gloved hand near lips,"A scene featuring the woman  Face: serious focused expression, lips slightly open. Hair: pulled back into sleek tight bun. Pose: close-up portrait, hand with leather glove near lips, stylized gesture. Outfit: fitted shirt with chunky silver chain necklace; sporty sunglasses reflecting studio lights Lighting: cool studio tones with soft background, minimal shadows. Camera: macro portrait, ultra-sharp lens, centered framing. Mood: futuristic minimalism - cyber fashion editorial, bold and clean. Format: portrait 3:4",https://covers.openpromptlib.com/a-serious-woman-in-sleek-bun-poses-with-gloved-han-hFYix-Yu_1.webp,,https://x.com/dreamydigiarts/status/2078072226323345480,2026-07-17 00:00:00,文生图,城市/建筑/空间,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-022,https://openpromptlib.com/prompt/a-young-woman-in-a-navy-gown-playfully-winks-at-th-fORxdO7Z,OpenPromptLib,ChatGPT Image 2,A young woman in a navy gown playfully winks at the camera,"Ultra-realistic high-end studio beauty portrait of a beautiful young East Asian woman with shoulder-length silky black hair styled in soft layers, wearing elegant pearl stud earrings, a delicate silver bracelet, and a luxurious strapless midnight navy satin gown with a subtle sheen. She is seated in a relaxed pose, leaning slightly forward with one elbow resting on her knee, her chin gently supported by her hand. She smiles warmly at the camera with one eye playfully winking, creating a natural, charming, and approachable expression.
Her skin is flawless, luminous, and porcelain-smooth with a soft natural glow, light peach blush, subtle champagne highlighter, softly defined brows, warm brown eyes, long curled eyelashes, and glossy rosy-pink lips. Gentle dimples become visible as she smiles.
The portrait is captured against a seamless pastel sky-blue studio background with strong separation from the subject. Bright soft key lighting is placed slightly to the front, while a warm rim light from behind creates a glowing halo around her hair and shoulders, emphasizing depth and elegance. The satin fabric reflects soft highlights with realistic folds and texture.
The composition is centered with the subject filling most of the vertical frame, shallow depth of field, creamy background bokeh, razor-sharp facial details, realistic skin texture, premium editorial fashion photography, luxury cosmetics campaign aesthetic, clean minimalist styling, natural color grading, ultra-detailed, photorealistic, HDR, 8K resolution, medium telephoto lens (85mm), f/1.8, professional studio photography, magazine cover quality, timeless elegance, sophisticated yet playful mood, vertical 3:4 aspect ratio.",https://covers.openpromptlib.com/a-young-woman-in-a-navy-gown-playfully-winks-at-th-fORxdO7Z_1.webp,,https://x.com/jzaib4269/status/2078071283359846494,2026-07-17 00:00:00,文生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-023,https://openpromptlib.com/prompt/a-woman-in-a-green-lace-gown-poses-in-a-sunlit-for-R2MpfTdm,OpenPromptLib,Nano Banana 2,A woman in a green lace gown poses in a sunlit forest,"Capture a cinematic, ethereal portrait series of a beautiful young woman with long, dark hair, posing gracefully in a sun-dappled, enchanted forest setting. The model is wearing a sophisticated off-the-shoulder forest green lace gown that perfectly complements the lush, natural surroundings. The scene is illuminated by soft, warm, dappled golden hour light filtering through the woodland canopy, highlighting the delicate textures of the lace and the serene expression on her face. Incorporate variations in the shots, such as the model gently brushing her hair back and holding a small, rustic bouquet of wildflowers near a small stone bridge over a quiet, sparkling stream. Use a shallow depth of field to create a soft, blurred background that emphasizes the model's elegance and the magical, tranquil atmosphere of the woodland landscape.",https://covers.openpromptlib.com/a-woman-in-a-green-lace-gown-poses-in-a-sunlit-for-R2MpfTdm_1.webp,,https://x.com/Minahil42298354/status/2078069491154489630,2026-07-17 00:00:00,文生图,城市/建筑/空间,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-024,https://openpromptlib.com/prompt/pastel-lavender-varsity-jacket-complements-white-t-oRnoRxeb,OpenPromptLib,ChatGPT Image 2,Pastel lavender varsity jacket complements white tee and jeans in studio,"Use my uploaded photo as the face reference. Keep my exact face, beard, glasses, hairstyle, and facial features unchanged. Slightly enhance my skin tone to a natural fair complexion with clear, smooth skin. Dress me in a pastel lavender varsity jacket with white sleeves, replacing the 'ARMY' logo with 'Abdur'. Pair it with a plain white T-shirt and white jeans. Use different stylish poses (hand in pocket, crossed arms, sitting, adjusting glasses), soft studio lighting, DSLR quality, ultra-realistic, sharp focus, premium fashion editorial style, 8K.",https://covers.openpromptlib.com/pastel-lavender-varsity-jacket-complements-white-t-oRnoRxeb_1.webp,,https://x.com/ayeshaafzal55/status/2078067647544222035,2026-07-17 00:00:00,图生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-025,https://openpromptlib.com/prompt/korean-ceo-sits-confidently-behind-modern-executiv-YnzblCPc,OpenPromptLib,ChatGPT Image 2,Korean CEO sits confidently behind modern executive desk in Seoul office,"Ultra-Realistic Korean CEO Office Portrait Prompt
Use the uploaded reference image as the ONLY face reference. Preserve the girl's facial identity 100% accurately, including her exact facial proportions, soft almond-shaped eyes, natural eyebrows, delicate nose, glossy lips, fair glowing skin, messy high bun hairstyle, face-framing strands, and overall identity. Do not beautify, replace, or alter her face.
Create an ultra-realistic luxury Korean CEO portrait inside a premium AI company office in Seoul. She is sitting confidently behind a modern executive desk, looking directly into the camera with a calm, intelligent smile and one hand gently resting under her chin.
She wears a luxury tailored satin blazer suit (choose either elegant champagne pink or matte black) with a silk blouse underneath, delicate pearl earrings, a thin diamond necklace, and a luxury wristwatch. Her posture is graceful and professional.
On the desk:
Premium MacBook
Minimal leather planner
Luxury pen
Crystal business award
Glass nameplate engraved: CEO AI Innovation Group
Designer coffee cup
Fresh cherry blossom arrangement
Background:
Floor-to-ceiling glass windows overlooking the Seoul skyline with N Seoul Tower
Blooming cherry blossom trees outside
Modern luxury office interior with warm wood, marble, and gold accents
Elegant illuminated wall logo reading: AI Innovation Group
Lighting:
Soft golden morning sunlight entering through the windows
Cinematic rim light
Natural shadows
Premium luxury atmosphere
Camera:
Eye-level composition
85mm DSLR lens
f/1.4 aperture
Shallow depth of field
Ultra-sharp focus on the face
Realistic skin texture
Magazine-quality editorial photography
HDR
Hyper-realistic 16K
Vertical 4:5 aspect ratio
Negative Prompt: cartoon, anime, CGI, blurry, low quality, bad anatomy, extra fingers, distorted hands, duplicate objects, oversaturated colors, unrealistic lighting, watermark, logo errors, text artifacts, face swap, identity change, plastic skin.",https://covers.openpromptlib.com/korean-ceo-sits-confidently-behind-modern-executiv-YnzblCPc_1.webp,,https://x.com/AmeliaAi12/status/2078065844199043249,2026-07-17 00:00:00,图生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-026,https://openpromptlib.com/prompt/a-chilled-coca-cola-can-casts-a-royal-shadow-on-re-o_8cb1NF,OpenPromptLib,ChatGPT Image 2,A chilled Coca-Cola can casts a royal shadow on red backdrop,"A premium Coca-Cola advertising poster featuring a single ice-cold Coca-Cola can standing perfectly centered on a seamless deep crimson red background. The aluminum can is covered with realistic condensation droplets and illuminated by dramatic cinematic studio lighting. Behind the can, a soft spotlight creates a glowing red gradient, while the can casts a perfectly aligned shadow that transforms into the silhouette of an elegant royal crown floating above, symbolizing royalty and dominance. Minimal luxury composition with generous negative space, ultra-clean product photography, glossy metallic reflections, realistic textures, high-end commercial branding, award-winning creative advertisement, photorealistic, hyper-detailed, 8K, premium beverage campaign, sharp focus, luxury poster design. Small Coca-Cola logo centered at the top. Minimal white tagline at the bottom: “Not just a drink. The King of Every Thirst.” No extra objects, no clutter, premium print-ready layout.",https://covers.openpromptlib.com/a-chilled-coca-cola-can-casts-a-royal-shadow-on-re-o_8cb1NF_1.webp,,https://x.com/iamrealsnow/status/2078063154161238311,2026-07-17 00:00:00,文生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-027,https://openpromptlib.com/prompt/circular-typographic-halo-frames-subject-s-head-in-tjOqwr3_,OpenPromptLib,Nano Banana Pro,Circular typographic halo frames subject's head in bold black letters,"Take [photo from uploaded photo] and add a circular typographic text overlay wrapping around the subject like a halo — bold black sans-serif capital letters, condensed spacing between letters, text following a circular path that partially frames the subject's head and upper body, some words positioned above and some curving down along the sides, matching the original photo's exact composition, lighting, colors and background — only the circular text layer is added on top, text: ""[your text here]""

Model: Nano banana pro",https://covers.openpromptlib.com/circular-typographic-halo-frames-subject-s-head-in-tjOqwr3__1.webp,,https://x.com/Maddox_Digital/status/2078061959631745047,2026-07-17 00:00:00,图生图,图形文字/版式,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-028,https://openpromptlib.com/prompt/a-confident-woman-in-a-charcoal-blazer-stands-befo-7KWlWutZ,OpenPromptLib,ChatGPT Image 2,A confident woman in a charcoal blazer stands before a glowing storefront,"> Ultra-realistic editorial fashion portrait of a young woman standing beside a large glass storefront at blue hour in a modern city. The glass creates subtle reflections and layered double-exposure effects, while distant traffic produces soft red and white light trails, colorful bokeh, and cinematic motion blur. She wears an oversized charcoal-black blazer over a fitted black top with light-wash high-waisted denim jeans, silver hoop earrings, and a loose effortless updo with wispy face-framing strands. Calm, confident expression, direct eye contact, natural makeup, relaxed pose with one hand in pocket. Reflections blend naturally across the glass without obscuring facial features. Soft on-camera flash freezes the subject while the city remains blurred from a slow shutter. Premium editorial fashion photography, Vogue campaign aesthetic, authentic urban atmosphere, natural skin texture, high dynamic range, realistic reflections, shallow depth of field, subtle chromatic aberration, dreamy glow, rich contrast, muted cool tones with warm neon accents, 85mm lens, f/1.8, 1/10s slow shutter, ISO 400, cinematic color grading, ultra-detailed, photorealistic, 8K, no CGI, no illustration, no text, no watermark.",https://covers.openpromptlib.com/a-confident-woman-in-a-charcoal-blazer-stands-befo-7KWlWutZ_1.webp,,https://x.com/Taaruk_/status/2078058334469660928,2026-07-17 00:00:00,文生图,图形文字/版式,是,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-029,https://openpromptlib.com/prompt/confident-woman-in-crocheted-bodysuit-poses-with-e-Lb3kKY_t,OpenPromptLib,Grok Imagine,Confident woman in crocheted bodysuit poses with elegant side angle,"Photorealistic fashion editorial photo of a beautiful young woman with fair skin and subtle freckles, striking blue eyes, sharp black winged eyeliner, and soft neutral-pink lips. She has vibrant red hair slicked back into a tight, sleek low ponytail. She is squatting elegantly on a wide white windowsill in a bright modern room, body angled slightly to the side while her head faces the camera directly with a confident, cool gaze.

She wears a sexy, form-fitting short romper/bodysuit in deep red and beige tones: the lower half and bust area feature red mesh with a delicate white circular/honeycomb pattern, while the sides and torso have sheer beige mesh panels decorated with thick, textured white rope-like or crocheted trim that forms organic swirling loops and sculptural details. The outfit has a modern asymmetric cut with one shoulder partially exposed. She is wearing minimal white strappy high-heeled sandals with thin stiletto heels and delicate ankle straps. Her fingernails and toenails are painted dark burgundy.

Natural soft daylight streams in from the large white-framed French window behind her, showing a European-style building facade outside. White walls, white curtains on both sides, bright and airy atmosphere. Highly detailed fabric texture, realistic skin, sharp focus, professional studio fashion photography, 8k, shot on 85mm lens, natural color grading --ar 3:4 --stylize 250 --v 6

More artistic: add in the style of Vogue editorial, dramatic natural light
More sensual: add subtle body glow, elegant and seductive pose
Different aspect ratio: change --ar 3:4 to --ar 9:16 (vertical) or --ar 16:9 (horizontal)",https://covers.openpromptlib.com/confident-woman-in-crocheted-bodysuit-poses-with-e-Lb3kKY_t_1.webp,,https://x.com/woleswoosh/status/2078057123578360092,2026-07-17 00:00:00,文生图,城市/建筑/空间,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
SEED-030,https://openpromptlib.com/prompt/soft-studio-lighting-highlights-the-elegant-struct-Ti3xaKrl,OpenPromptLib,Grok Imagine,Soft studio lighting highlights the elegant structure of a tailored black suit.,"A studio portrait of a young woman with soft, wavy brown hair, elegantly posed while sitting on a simple black chair. She is dressed in a tailored black blazer over a dark top and matching trousers, exuding a polished and sophisticated aesthetic. Her hand is gently resting under her chin in a contemplative posture, and she gazes directly at the camera with a calm, serene expression. The lighting is soft and natural, casting gentle shadows across the minimalist, neutral-toned background, which creates a clean, high-fashion editorial look.",https://covers.openpromptlib.com/soft-studio-lighting-highlights-the-elegant-struct-Ti3xaKrl_1.webp,,https://x.com/Minahil42298354/status/2078051942769517022,2026-07-17 00:00:00,文生图,城市/建筑/空间,否,61,公开提示词+原结果图；原作者的轮次和修改次数未知
